PurchaseId,Buyer,Vendor,Unit,Order Date,Order Number,Description,Amount,Delivery Date,Note,Cheshbonit Vendor,Chesbonit Delivery,InputDate,Payed By,new_date,new_date1,apt
294c353c,yuri@emmaleh.com,b3269088,3221,11/24/2021,105349431,"Moving (Hovala) , Regualr Fridge"," ₪1,979.99",11/24/2021,,Purchases_Files_/294c353c.Cheshbonit Vendor.111802.pdf,,11/24/2021,,11/24/2021,2021-11,U102
684a62f2,yuri@emmaleh.com,b3269088,1913,8/24/2021,,Moving (Hovala), ₪160.00,12/1/2021,Oven w burners - credit card charge for 959,Purchases_Files_/684a62f2.Cheshbonit Vendor.065221.pdf,,12/1/2021,,#VALUE!,2021-08,U095
eb8bde85,yuri@emmaleh.com,b3269088,2018,12/14/2021,,"Moving (Hovala) , WM Top Door"," ₪1,560.00",12/15/2021,,Purchases_Files_/eb8bde85.Cheshbonit Vendor.074828.pdf,,12/15/2021,,12/14/2021,2021-12,U095
851e62cb,bethknewmark@gmail.com,a85e26f8,186dafa2a,12/19/2021,,Gibush," ₪2,772.00",12/19/2021,,Purchases_Images/851e62cb.Cheshbonit Vendor.185443.jpg,,12/19/2021,,12/19/2021,2021-12,U094
987b0115,g.tomer@prelude.co.il,b3269088,1850,10/4/2021,,"Oven W Burners , WM Side Door"," ₪1,698.00",10/4/2021,,Purchases_Files_/987b0115.Cheshbonit Vendor.073808.pdf,,2/1/2022,,#VALUE!,2021-10,U061
566b3ef7,g.tomer@prelude.co.il,b3269088,1405,10/4/2021,,"Electric Burners , Microwave"," ₪1,000.00",10/4/2021,,Purchases_Files_/566b3ef7.Cheshbonit Vendor.073116.pdf,,2/1/2022,,#VALUE!,2021-10,U052
0d6b8493,g.tomer@prelude.co.il,b3269088,2812,10/4/2021,,"Electric Burners , Toaster Oven", ₪940.00,10/4/2021,,Purchases_Files_/0d6b8493.Cheshbonit Vendor.114438.pdf,,2/1/2022,,#VALUE!,2021-10,U102
91786042,g.tomer@prelude.co.il,b3269088,1850,10/4/2021,,Moving (Hovala), ₪230.00,10/4/2021,,Purchases_Files_/91786042.Cheshbonit Vendor.071807.pdf,,2/1/2022,,#VALUE!,2021-10,U061
e589a71d,g.tomer@prelude.co.il,b3269088,2801,10/14/2021,,Electric Burners, ₪400.00,10/14/2021,,Purchases_Files_/e589a71d.Cheshbonit Vendor.114332.pdf,,2/1/2022,,10/14/2021,2021-10,U102
2d2f56a5,g.tomer@prelude.co.il,b3269088,0935,10/14/2021,,"WM Side Door , Moving (Hovala)", ₪888.00,10/14/2021,,Purchases_Files_/2d2f56a5.Cheshbonit Vendor.114355.pdf,,2/1/2022,,10/14/2021,2021-10,
4d20f12a,g.tomer@prelude.co.il,b3269088,0935,10/14/2021,,Moving (Hovala), ₪130.00,10/14/2021,,Purchases_Images/4d20f12a.Cheshbonit Vendor.115922.jpg,,2/1/2022,,10/14/2021,2021-10,
f17f549e,g.tomer@prelude.co.il,b3269088,2801,10/18/2021,,Regualr Fridge,"- ₪1,971.00",10/18/2021,REFUND,Purchases_Files_/f17f549e.Cheshbonit Vendor.074340.pdf,,2/1/2022,,10/18/2021,2021-10,U102
8d83e04a,g.tomer@prelude.co.il,b3269090,186dafa2a,10/6/2021,,OFFICE RENT," ₪1,988.42",10/6/2021,,Purchases_Files_/8d83e04a.Cheshbonit Vendor.121551.pdf,,2/1/2022,,#VALUE!,2021-10,U094
c1da646c,g.tomer@prelude.co.il,b3269088,2801,9/14/2021,,Electric Burners," ₪2,397.00",9/14/2021,charge for 400 nis of electric burners and zikui for 1971,Purchases_Images/c1da646c.Cheshbonit Vendor.091208.jpg,,2/1/2022,,#VALUE!,2021-09,U102
594ed16f,g.tomer@prelude.co.il,b3269088,1332,9/14/2021,,"Moving (Hovala) , Big Fridge"," ₪2,670.00",9/10/2021,,Purchases_Files_/594ed16f.Cheshbonit Vendor.072502.pdf,,2/1/2022,,#VALUE!,2021-09,U052
df47e041,g.tomer@prelude.co.il,b3269088,2051,9/14/2021,,"Oven W Burners , Moving (Hovala)", ₪930.00,9/14/2021,,Purchases_Files_/df47e041.Cheshbonit Vendor.072112.pdf,,2/1/2022,,#VALUE!,2021-09,U095
a750e27f,g.tomer@prelude.co.il,b3269088,1405,9/22/2021,,"Moving (Hovala) , Big Fridge"," ₪2,670.00",9/14/2021,,Purchases_Files_/a750e27f.Cheshbonit Vendor.122643.pdf,,2/1/2022,,#VALUE!,2021-09,U052
c8d0acc0,g.tomer@prelude.co.il,b3269090,186dafa2a,9/1/2021,,OFFICE RENT," ₪1,812.68",9/9/2021,,Purchases_Files_/c8d0acc0.Cheshbonit Vendor.094317.2021.pdf,,2/1/2022,,#VALUE!,2021-09,U094
47d068d9,g.tomer@prelude.co.il,b3269089,186dafa2a,11/21/2021,,ADVERTISEMENT," ₪2,250.00",11/21/2021,,Purchases_Files_/47d068d9.Cheshbonit Vendor.094403.2021.Pdf,,2/1/2022,,11/21/2021,2021-11,U094
193c404d,g.tomer@prelude.co.il,2564d3f5,186dafa2a,11/7/2021,,INTERNET, ₪606.20,11/7/2021,,Purchases_Files_/193c404d.Cheshbonit Vendor.065437.pdf,,2/1/2022,,#VALUE!,2021-11,U094
89c786d0,g.tomer@prelude.co.il,b3269090,186dafa2a,11/8/2021,,OFFICE RENT," ₪2,019.30",11/8/2021,,Purchases_Files_/89c786d0.Cheshbonit Vendor.121527.2021.pdf,,2/1/2022,,#VALUE!,2021-11,U094
85b3cca5,g.tomer@prelude.co.il,2564d3f5,1405,11/17/2021,,INTERNET, ₪400.00,11/17/2021,,Purchases_Files_/85b3cca5.Cheshbonit Vendor.081235.pdf,,2/1/2022,,11/17/2021,2021-11,U052
541462f1,holdings.office1@gmail.com,fb4521e2,1332,1/4/2022,0-204834,חשבון חשמל, ₪17.29,,אישור צריכת חשמל,Purchases_Images/541462f1.Cheshbonit Vendor.085038.png,,6/1/2022,,#VALUE!,2022-01,U052
865ab7a1,holdings.office1@gmail.com,fb4521e2,2051,1/4/2022,0-293951,חשבון חשמל, ₪17.29,1/4/2022,אישור צריכת חשמל,Purchases_Images/865ab7a1.Cheshbonit Vendor.085452.png,,6/1/2022,,#VALUE!,2022-01,U095
c3c0ac34,holdings.office1@gmail.com,fb4521e2,2130,1/4/2022,0-421776,חשבון חשמל, ₪74.76,1/4/2022,1.10.21-28.12.21,Purchases_Images/c3c0ac34.Cheshbonit Vendor.085635.png,,6/1/2022,,#VALUE!,2022-01,U097
f7d2e212,holdings.office1@gmail.com,fb4521e2,1433,1/4/2022,0-574871,חשבון חשמל, ₪17.29,1/4/2022,אישור צריכת חשמל,Purchases_Images/f7d2e212.Cheshbonit Vendor.090017.png,,6/1/2022,,#VALUE!,2022-01,U052
0642c13d,holdings.office1@gmail.com,fb4521e2,1834,1/4/2022,0-063930,חשבון חשמל, ₪17.29,1/4/2022,אישור צריכת חשמל,Purchases_Images/0642c13d.Cheshbonit Vendor.090345.png,,6/1/2022,,#VALUE!,2022-01,U052
323c34ce,holdings.office1@gmail.com,fb4521e2,2054,1/4/2022,0-720995,חשבון חשמל, ₪17.29,1/4/2022,אישור צריכת חשמל,Purchases_Images/323c34ce.Cheshbonit Vendor.090508.png,,6/1/2022,,#VALUE!,2022-01,U095
2d2cb5c0,holdings.office1@gmail.com,fb4521e2,1427,1/4/2022,0-781161,חשבון חשמל, ₪17.29,1/4/2022,אישור צריכת חשמל,Purchases_Images/2d2cb5c0.Cheshbonit Vendor.090627.png,,6/1/2022,,#VALUE!,2022-01,U052
a4625a32,holdings.office1@gmail.com,fb4521e2,3216,1/4/2022,0-821801,חשבון חשמל, ₪17.04,1/4/2022,אישור צריכת חשמל,Purchases_Images/a4625a32.Cheshbonit Vendor.091012.png,,6/1/2022,,#VALUE!,2022-01,U102
9dbcf90e,holdings.office1@gmail.com,0596564a,1327,1/5/2022,952000037,חשבון גז, ₪29.52,1/5/2022,11-12/2021,Purchases_Images/9dbcf90e.Cheshbonit Vendor.091231.jpg,,6/1/2022,,#VALUE!,2022-01,
b31b0ec8,holdings.office1@gmail.com,fb4521e2,1327,1/5/2022,0-299297,חשבון חשמל, ₪54.67,1/5/2022,17.11.21-31.12.21,Purchases_Images/b31b0ec8.Cheshbonit Vendor.091339.png,,6/1/2022,,#VALUE!,2022-01,
4050025c,holdings.office1@gmail.com,fb4521e2,1930,1/10/2022,0-653584,חשבון חשמל, ₪45.07,1/10/2022,21.11.21-5.1.22,Purchases_Images/4050025c.Cheshbonit Vendor.063237.png,,10/1/2022,,#VALUE!,2022-01,U095
fab9d30a,g.tomer@prelude.co.il,b3269088,0920,12/23/2021,,"Oven W Burners , WM Side Door , Moving (Hovala)"," ₪1,830.00",12/23/2021,,Purchases_Files_/fab9d30a.Cheshbonit Vendor.063003.pdf,,10/1/2022,,12/23/2021,2021-12,
437aede9,g.tomer@prelude.co.il,b3269088,1327,12/27/2021,,"Moving (Hovala) , Regualr Fridge , ???"," ₪2,590.00",12/27/2021,Extra moving for dissembeling fridge doors to fit through the door,Purchases_Files_/437aede9.Cheshbonit Vendor.062936.pdf,,10/1/2022,,12/27/2021,2021-12,
74600c60,g.tomer@prelude.co.il,b3269090,186dafa2a,12/6/2021,,OFFICE RENT," ₪2,020.36",12/6/2021,,Purchases_Files_/74600c60.Cheshbonit Vendor.090925.2021.pdf,,10/1/2022,,#VALUE!,2021-12,U094
3b10f4ae,g.tomer@prelude.co.il,2564d3f5,186dafa2a,12/6/2021,,INTERNET, ₪376.60,12/6/2021,U79 U95 U250,Purchases_Files_/3b10f4ae.Cheshbonit Vendor.085953.6.pdf,,10/1/2022,,#VALUE!,2021-12,U094
4e9cdc30,holdings.office1@gmail.com,0596564a,0920,1/11/2022,0-028902,חשבון גז, ₪250.00,1/11/2022,חיבור לכיריים חדשות,Purchases_Files_/4e9cdc30.Cheshbonit Vendor.094908.pdf,,11/1/2022,,#VALUE!,2022-01,
9a6a2f16,yuri@emmaleh.com,6ffe01d6,1724,11/18/2021,,"Big Couch , Moving (Hovala)"," ₪1,950.00",12/1/2021,,Purchases_Files_/9a6a2f16.Cheshbonit Vendor.062746.pdf,,,,11/18/2021,2021-11,U052
d0c69923,yuri@emmaleh.com,b3269088,1851,1/23/2022,,"WM Side Door , Moving (Hovala)", ₪929.00,1/23/2022,3 receipts because of discounts that were made,Purchases_Files_/d0c69923.Cheshbonit Vendor.063233.pdf,,,,#VALUE!,2022-01,U061
,,,,,,,,,,,,,,#NUM!,,
,,,,,,,,,,,,,,#NUM!,,
c1841300,g.tomer@prelude.co.il,b3269090,186dafa2a,12/6/2021,,OFFICE RENT," ₪2,020.36",,,Purchases_Files_/c1841300.Cheshbonit Vendor.063155.pdf,,,,#VALUE!,2021-12,U094
990ce483,g.tomer@prelude.co.il,2564d3f5,186dafa2a,1/6/2022,,INTERNET, ₪376.60,,,Purchases_Files_/990ce483.Cheshbonit Vendor.100027.pdf,,,,#VALUE!,2022-01,U094
1eb4ec60,g.tomer@prelude.co.il,b3269090,186dafa2a,1/9/2022,,OFFICE RENT," ₪1,988.42",,,Purchases_Files_/1eb4ec60.Cheshbonit Vendor.070850.pdf,,,,#VALUE!,2022-01,U094
ee068a82,g.tomer@prelude.co.il,b3269088,1714,1/23/2022,,"Oven W Burners , WM Side Door , Moving (Hovala) , ???"," ₪1,109.00",,1109 + 818 Belong to U241 - same purchase with 3 receipts for 1468 + 179.99 + 280 = 1927,Purchases_Files_/ee068a82.Cheshbonit Vendor.070351.pdf,,,,#VALUE!,2022-01,U052
4441a856,g.tomer@prelude.co.il,b3269088,1714,1/23/2022,,"Oven W Burners , WM Side Door , Moving (Hovala) , ???", ₪819.00,,1109 + 818 Belong to U241 - same purchase with 3 receipts for 1468 + 179.99 + 280 = 1927,Purchases_Files_/4441a856.Cheshbonit Vendor.070425.pdf,,,,#VALUE!,2022-01,U052
50de652b,yuri@emmaleh.com,b3269088,2013,2/20/2022,,"WM Side Door , Moving (Hovala)", ₪979.00,2/21/2022,חיוב מפוצל ל 849 + 130,Purchases_Files_/50de652b.Cheshbonit Vendor.095728.pdf,,,,#VALUE!,2022-02,U095
b771e0af,yuri@emmaleh.com,b3269088,1722,2/16/2022,,"WM Side Door , Moving (Hovala)", ₪929.00,2/23/2022,חיוב מפוצל על סך 669 + 130 + 130,Purchases_Files_/b771e0af.Cheshbonit Vendor.100843.pdf,,,,#VALUE!,2022-02,U052
0b28202b,yuri@emmaleh.com,b3269088,2812,2/16/2022,,"Oven W Burners , Moving (Hovala)"," ₪1,029.00",2/23/2022,חיוב מפוצל של 899 + 130,Purchases_Files_/0b28202b.Cheshbonit Vendor.101027.pdf,,,,#VALUE!,2022-02,U102
1d2ba9b9,yuri@emmaleh.com,b3269090,186dafa2a,3/6/2022,,OFFICE RENT," ₪1,988.42",3/6/2022,השכרת משרד חודש מרץ 2022,Purchases_Files_/1d2ba9b9.Cheshbonit Vendor.062846.pdf,,,,#VALUE!,2022-03,U094
1d9c4acf,yuri@emmaleh.com,b3269088,2013,3/7/2022,,Toaster Oven, ₪467.01,3/7/2022,,Purchases_Files_/1d9c4acf.Cheshbonit Vendor.081050.pdf,,,,#VALUE!,2022-03,U095
42d1e32e,yuri@emmaleh.com,b3269088,1927,3/7/2022,,Toaster Oven, ₪467.01,3/7/2022,,Purchases_Files_/42d1e32e.Cheshbonit Vendor.081129.pdf,,,,#VALUE!,2022-03,U095
cded19c0,yuri@emmaleh.com,b3269088,1332,3/7/2022,,"Oven W Burners , Moving (Hovala)"," ₪1,029.00",3/20/2022,Oven 899 + 130 Moving,Purchases_Files_/cded19c0.Cheshbonit Vendor.081354.pdf,,,,#VALUE!,2022-03,U052
824367d0,g.tomer@prelude.co.il,2564d3f5,186dafa2a,3/2/2022,,INTERNET, ₪376.60,,,Purchases_Files_/824367d0.Cheshbonit Vendor.100101.pdf,,,,#VALUE!,2022-03,U094
23607582,holdings.office1@gmail.com,0596564a,1714,2/6/2022,228012703,חשבון גז, ₪250.00,2/6/2022,התקנת תנור משולב חדש,Purchases_Files_/23607582.Cheshbonit Vendor.063643.pdf,,6/2/2022,,#VALUE!,2022-02,U052
605d8226,holdings.office1@gmail.com,fb4521e2,3217,2/7/2022,0-625459,חשבון חשמל," ₪1,180.01",2/7/2022,17.11-17.1 הדייר שילם 600 שח בהעברה בנקאית לחשבון של השקעות,Purchases_Images/605d8226.Cheshbonit Vendor.063843.png,,7/2/2022,,#VALUE!,2022-02,U102
e961f187,holdings.office1@gmail.com,fb4521e2,1724,2/8/2022,0-228486,חשבון חשמל, ₪27.35,2/8/2022,11.11-20.11,Purchases_Images/e961f187.Cheshbonit Vendor.064043.png,,8/2/2022,,#VALUE!,2022-02,U052
0cd07590,holdings.office1@gmail.com,fb4521e2,1709,2/9/2022,0-794008,חשבון חשמל, ₪100.15,2/9/2022,1.10-3.1,Purchases_Images/0cd07590.Cheshbonit Vendor.064243.png,,9/2/2022,,#VALUE!,2022-02,U052
553b4364,holdings.office1@gmail.com,fb4521e2,2008,3/1/2022,0-886242,חשבון חשמל, ₪26.38,3/1/2022,31.1-22.2,Purchases_Images/553b4364.Cheshbonit Vendor.070500.png,,1/3/2022,,#VALUE!,2022-03,U095
acb2c315,holdings.office1@gmail.com,0596564a,1822,3/1/2022,0-917526,חשבון גז, ₪43.09,3/1/2022,נובמבר דצמבר,Purchases_Files_/acb2c315.Cheshbonit Vendor.070508.09.pdf,,1/3/2022,,#VALUE!,2022-03,U052
0945c521,holdings.office1@gmail.com,0596564a,1824,3/1/2022,0-067074,חשבון גז, ₪32.01,3/1/2022,דצמבר ינואר,Purchases_Files_/0945c521.Cheshbonit Vendor.070516.01.pdf,,1/3/2022,,#VALUE!,2022-03,U052
6d6b4596,holdings.office1@gmail.com,0596564a,1815,3/1/2022,0-303354,חשבון גז, ₪44.11,3/1/2022,נובמבר דצמבר,Purchases_Files_/6d6b4596.Cheshbonit Vendor.070525.11.pdf,,1/3/2022,,#VALUE!,2022-03,U052
e475674e,holdings.office1@gmail.com,0596564a,0905,3/1/2022,0-392902,חשבון גז, ₪44.11,3/1/2022,נובמבר דצמבר,Purchases_Files_/e475674e.Cheshbonit Vendor.070534.11.pdf,,1/3/2022,,#VALUE!,2022-03,
5b6f5825,holdings.office1@gmail.com,0596564a,1711,3/1/2022,0-488114,חשבון גז, ₪44.11,3/1/2022,נובמבר דצמבר,Purchases_Files_/5b6f5825.Cheshbonit Vendor.070541.11.pdf,,1/3/2022,,#VALUE!,2022-03,U052
cb9ee21b,holdings.office1@gmail.com,0596564a,1405,3/1/2022,0-560367,חשבון גז, ₪229.06,3/1/2022,נובמבר דצמבר,Purchases_Files_/cb9ee21b.Cheshbonit Vendor.070549.06.pdf,,1/3/2022,,#VALUE!,2022-03,U052
4b41666e,holdings.office1@gmail.com,fc46cf6f,186dafa2a,2/27/2022,0-764746,חשבון מים," ₪1,960.41",2/27/2022,דצמבר ינואר תשלום עבור כל היחידות של השקעות דרום,Purchases_Files_/4b41666e.Cheshbonit Vendor.070556.41.pdf,,2/3/2022,,#VALUE!,2022-02,U094
987128ae,holdings.office1@gmail.com,fc46cf6f,3225,2/27/2022,0-100610,חשבון מים, ₪175.51,2/27/2022,דצמבר-ינואר,Purchases_Files_/987128ae.Cheshbonit Vendor.070606.51.pdf,,2/3/2022,,#VALUE!,2022-02,U102
e58859da,holdings.office1@gmail.com,fc46cf6f,2620,3/2/2022,829044,חשבון מים, ₪22.89,3/2/2022,1.12-11.1,Purchases_Files_/e58859da.Cheshbonit Vendor.070616.89.pdf,,2/3/2022,,#VALUE!,2022-03,U097
920d4a2a,holdings.office1@gmail.com,fc46cf6f,1405,3/1/2022,0-958926,חשבון מים, ₪782.16,3/1/2022,דצמבר ינואר,Purchases_Files_/920d4a2a.Cheshbonit Vendor.070627.16.pdf,,2/3/2022,,#VALUE!,2022-03,U052
fc6fbf8b,holdings.office1@gmail.com,fb4521e2,0926,3/3/2022,0-435503,חשבון חשמל, ₪54.30,3/3/2022,1.1.22-26.2.22,Purchases_Images/fc6fbf8b.Cheshbonit Vendor.070633.png,,3/3/2022,,#VALUE!,2022-03,
7547c8e5,holdings.office1@gmail.com,fb4521e2,2130,3/9/2022,0-281436,חשבון חשמל, ₪78.37,3/9/2022,29.12-28.2,Purchases_Images/7547c8e5.Cheshbonit Vendor.070640.png,,9/3/2022,,#VALUE!,2022-03,U097
ded0268f,holdings.office1@gmail.com,fc46cf6f,1701,3/1/2022,3817977532,חשבון מים, ₪10.00,3/1/2022,גמר חשבון,Purchases_Files_/ded0268f.Cheshbonit Vendor.070650.pdf,,9/3/2022,,#VALUE!,2022-03,U052
,,,,,,,,,,,,,,#NUM!,,
9b9ec2a2,yuri@emmaleh.com,b3269088,2801,3/24/2022,,"Moving (Hovala) , Oven W Burners"," ₪1,470.00",3/27/2022,Oven 1340 + moving 130,Purchases_Files_/9b9ec2a2.Cheshbonit Vendor.122435.pdf,,,,#VALUE!,2022-03,U102
a422694c,yuri@emmaleh.com,b3269090,186dafa2a,4/6/2022,,OFFICE RENT," ₪1,988.42",4/6/2022,,Purchases_Files_/a422694c.Cheshbonit Vendor.065321.pdf,,,,#VALUE!,2022-04,U094
47a56913,yuri@emmaleh.com,b3269088,2610,4/11/2022,,"WM Side Door , Moving (Hovala)", ₪949.00,4/14/2022,799 + 150,Purchases_Files_/47a56913.Cheshbonit Vendor.050913.pdf,,,,#VALUE!,2022-04,U097
2f0f1641,yuri@emmaleh.com,b3269088,1922,4/17/2022,,"Moving (Hovala) , Regualr Fridge , Electric Burners"," ₪2,345.00",4/18/2022,2119.99 + 225,Purchases_Files_/2f0f1641.Cheshbonit Vendor.122415.pdf,,,,#VALUE!,2022-04,U095
4c0debec,holdings.office1@gmail.com,9a38660a,2702,1/6/2022,3452216,ארנונה, ₪658.80,1/6/2022,11-12/2021,Purchases_Files_/4c0debec.Cheshbonit Vendor.103237.80.pdf,,,,#VALUE!,2022-01,U097
3a58cc8a,holdings.office1@gmail.com,9a38660a,2047,1/6/2022,13920217,ארנונה, ₪120.30,1/6/2022,10.12-31.12,Purchases_Files_/3a58cc8a.Cheshbonit Vendor.103348.30.pdf,,,,#VALUE!,2022-01,U095
